"name","guess","confidence","female","male","source"
"A. DANIEL FELLER US","male",1,0,3,"google"
"A. John Appleby US","male",1,0,5,"google"
"A. John van der Griendt US","male",1,0,1,"ask"
"A. John Yates US","male",1,0,2,"google"
"A. John Yates Westfield NJ US","male",0.75,0,2,"yahoo"
"A. John Yates Westfield NY US","male",0.666666667,0,1,"yahoo"
"Aaron L. Schacht US","male",1,0,4,"google"
"Aaron Trent Ward US","male",1,0,2,"google"
"Aaron W. Schoeneman US","male",1,0,1,"google"
"Aaron William Levine US","female",1,1,0,"ask"
"ACHIM ANSMANN DE","male",1,0,3,"google"
"Achim Zimmermann DE","male",0.666666667,1,2,"google"
"Adam J. Simon US","male",1,0,2,"google"
"Adam W. Divelbiss US","male",1,0,3,"google"
"Adolfo Ridolfi IT","male",1,0,2,"google"
"Adolfo Ridolfi Tregnago IT","male",0.857142857,0,5,"yahoo"
"Adrian Hsieh US","male",0.75,1,3,"google"
"Adriano Afonso IN","male",1,0,5,"google"
"ADRIANUS CORNELIS PETRUS ROVERS NL","male",1,0,3,"google"
"ADRIANUS CORNELIS PETRUS ROVERS SON NL","male",0.6,1,2,"yahoo"
"Adrianus Petrus Antonius DE MAN NL","male",1,0,12,"bing"
"ADRIANUS PETRUS ANTONIUS DE MAN NL","male",1,0,12,"bing"
"Adrianus Petrus Antonius de Man NL","male",1,0,12,"bing"
"Adrianus Petrus Antonius De Man NL","male",1,0,12,"bing"
"Ahcene Boumendjel FR","male",1,0,4,"ask"
"Ahmad Khalaf Al-Ghazawi GB","male",1,0,1,"google"
"Ake Gustafson CH","male",1,0,2,"google"
"Akihiro Hayashi JP","male",1,0,1,"google"
"Akihiro Hirano JP","male",1,0,4,"google"
"Akihiro Maehara JP","male",1,0,1,"google"
"Akihiro Suzuki JP","male",1,0,1,"ask"
"Akihito Miyamoto JP","male",1,0,2,"google"
"AKIMASA MUYAMA JP","male",1,0,1,"google"
"Akio Nishida JP","male",1,0,4,"google"
"Akio Tosaka Chiba JP","male",0.9,0,8,"yahoo"
"Akio Tosaka JP","male",1,0,1,"ask"
"Akio Uesugi JP","male",1,0,2,"google"
"Akira Fujiki JP","male",1,0,3,"ask"
"Akira Hashimoto JP","male",1,0,1,"google"
"Akira Hori JP","male",1,0,4,"ask"
"Akira Ishida JP","male",1,0,5,"google"
"Akira Ishizaki JP","male",0.666666667,1,2,"google"
"Akira Kato JP","male",1,0,1,"google"
"Akira Manabe JP","male",1,0,2,"google"
"Akira Nakajima JP","male",1,0,1,"ask"
"AKIRA OKAMOTO JP","male",1,0,1,"google"
"Akira Onoda JP","male",1,0,1,"google"
"AKIRA TAKAHASHI JP","male",1,0,3,"google"
"AKIRA TAKAHASHI NAGOYA-CITY JP","male",0.666666667,0,1,"yahoo"
"Akira Tokito JP","male",0.666666667,1,2,"google"
"Akira Tomiyama Hanishina-gun JP","male",0.888888889,0,7,"yahoo"
"Akira Tomiyama JP","male",1,0,8,"google"
"Akiyoshi Mori JP","male",1,0,1,"ask"
"ALAIN A. CARON CA","male",1,0,1,"ask"
"ALAIN CALVET US","male",1,0,1,"google"
"ALAIN PIERDET FR","male",1,0,3,"ask"
"Alain Pierre Vegnant FR","unknown",0.5,1,1,"google"
"Alain Rolland FR","male",1,0,3,"google"
"Alain Rolland Palaiseau FR","male",0.888888889,0,7,"yahoo"
"Alan David Cetel US","male",1,0,2,"google"
"Alan David Cetel West Hartford CT US","male",0.8,0,3,"yahoo"
"Alan E. Moormann US","male",1,0,3,"ask"
"ALAN G. OLIVERO US","male",1,0,1,"google"
"Alan J. Bilanin Princeton NJ US","male",0.833333333,0,4,"yahoo"
"Alan J. Bilanin US","female",1,1,0,"ask"
"Alan L. Harrington US","male",1,0,7,"ask"
"Alan Norman Howard Cambridge GB","male",0.833333333,0,4,"yahoo"
"Alan Norman Howard GB","male",1,0,3,"google"
"Alan R. Maquire GB","male",1,0,1,"google"
"Alan R. Peters Bokeelia FL US","male",0.666666667,1,3,"yahoo"
"Alan R. Peters US","male",0.666666667,1,2,"google"
"Alan Roger Babington GB","unknown",0.5,4,4,"google"
"Alan Thomas Nagl Longmont CO US","male",0.666666667,0,1,"yahoo"
"Alan Thomas Nagl US","male",1,0,3,"google"
"Alangudi Sankaranarayanan Ahmedabad IN","male",0.75,0,2,"yahoo"
"Alangudi Sankaranarayanan IN","female",1,1,0,"google"
"Albert Cheuk-Yin Wong US","male",1,0,2,"ask"
"Albert Johan Pennings BE","male",1,0,2,"google"
"ALBERT K. BOND US","female",1,1,0,"google"
"Albert Kay US","male",0.833333333,1,5,"ask"
"ALBERT LOUIS VICTOR JOSEF CLAESSENS BE","male",1,0,2,"google"
"ALBERT MOREYRA FLOWER MOUND TX US","male",0.8,0,3,"yahoo"
"ALBERT MOREYRA US","male",1,0,8,"ask"
"ALBERTO BAREGGI IT","male",1,0,4,"google"
"ALBERTO BIANCHETTI IT","male",1,0,1,"google"
"ALBERTO BIANCHETTI MILAN IT","female",0.833333333,4,0,"yahoo"
"Alberto Borgonovo HK","male",1,0,1,"ask"
"Alberto Tonielli IT","male",1,0,3,"google"
"Alessandro Chiabrera IT","male",1,0,2,"google"
"Alex Berger Palo Alto CA US","male",0.666666667,0,1,"yahoo"
"Alex Berger US","male",1,0,2,"google"
"Alex J. Severinsky US","male",1,0,7,"ask"
"Alexander Alexeevich Artjukov RU","male",1,0,1,"google"
"Alexander Beeck DE","male",1,0,2,"google"
"Alexander Beeck Kuessaberg DE","male",0.75,0,2,"yahoo"
"Alexander Douglas Mossman CA","unknown",0.5,2,2,"ask"
"Alexander Eidukonis US","male",1,0,1,"google"
"Alexander F. Robb US","male",1,0,1,"google"
"ALEXANDER KARBACH DE","male",1,0,1,"google"
"Alexander Karlwalter Zettl US","female",0.666666667,2,1,"google"
"Alexander L. Kapelevich US","male",1,0,1,"google"
"Alexander Von Gaisburg DE","male",1,0,4,"google"
"Alexandr Alexeevich Artjukov RU","male",1,0,2,"google"
"Alexandr Alexeevich Medvedev RU","male",1,0,6,"google"
"ALEXEY L. MARGOLIN US","male",1,0,2,"google"
"Alfred Gloor CH","female",1,2,0,"google"
"Alfred Grill US","male",1,0,2,"ask"
"ALFRED MERTENS DE","male",1,0,2,"google"
"Ali Langari CA","male",1,0,1,"google"
"Alison Jane Soards Nock GB","male",1,0,3,"ask"
"Alison Mary Badger US","unknown",0.5,1,1,"google"
"Allan Gleason US","male",1,0,1,"ask"
"Allan Joseph Kotwicki US","male",1,0,4,"ask"
"Allan M. Weinstein US","male",1,0,6,"google"
"Allan Wilcox US","male",1,0,8,"ask"
"ALLEN D. HERTZ BOCA RATON FL US","male",0.75,0,2,"yahoo"
